frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,3.676346,35.110035,231.680649,8.888470,14.242059,235.695312,13.213603,-8.623142,231.440598,35.230839,-4.796334,215.715317,31.186935,19.459873,217.868820,16.510546,34.887810,222.611450,14.113363,27.882782,225.220901,26.506039,30.376583,218.996765,14.064052,48.311596,212.839478,-2.076827,35.842957,227.783432,11.796599,65.176285,215.603622,9.613328,58.448868,224.556641
1,-2.533029,37.971386,226.323105,3.167445,15.938604,232.578308,8.208508,-7.677755,231.189957,28.982784,-4.076225,213.165802,26.555523,19.252712,215.742157,10.470553,35.987766,219.430817,11.041519,29.406313,233.432159,23.393095,31.066387,223.866898,10.315630,45.534096,206.241684,-2.939579,44.085117,228.561539,7.171264,61.069904,216.257919,2.630645,61.775757,229.743240
2,-0.478596,37.635220,229.044418,5.454745,16.056496,233.768997,9.585057,-8.024278,231.902359,30.193043,-3.830291,213.301407,27.651569,19.572420,217.779709,12.766781,36.498108,221.290314,8.461048,27.775509,235.207977,18.677097,30.097363,223.179031,13.549895,45.826740,207.711349,-3.326493,44.620033,233.580750,5.698896,61.814163,217.571945,-3.567632,61.061069,228.560974
3,0.766968,36.086620,227.380524,6.366539,15.403434,233.434464,10.613461,-8.289958,231.761948,31.541155,-4.451981,213.586639,28.234726,19.151978,216.627502,13.415386,36.184460,221.106308,7.039524,26.281052,232.045212,17.492516,28.926519,221.539078,13.346671,47.565979,211.231094,-3.866804,49.982037,228.944382,4.269609,65.064400,216.312195,-2.022640,66.786911,226.868134
4,0.986615,35.771164,228.732941,6.056226,14.494627,232.760696,10.952994,-8.734420,231.887115,32.402359,-4.714088,214.228714,28.838797,19.172421,215.927811,14.133548,36.437164,221.573853,8.790145,25.598848,235.276047,19.495674,28.442430,224.492966,14.555364,46.849514,208.886551,-2.928502,50.167351,230.127579,10.328856,67.961205,219.796341,-3.017876,67.632324,227.893143
5,0.933462,35.796967,229.021805,6.032742,14.384727,233.243195,11.068750,-9.039603,232.559479,32.530293,-4.239261,213.844788,28.109007,19.461033,215.852066,13.997704,36.687267,221.825989,8.529955,26.478462,235.976166,19.731236,28.987917,225.345169,14.383934,46.827454,211.162750,-3.487955,46.058228,231.235474,8.306117,69.220757,219.841858,-3.144788,70.579605,231.015869
6,0.556648,36.344669,228.208282,6.070868,14.512437,232.617325,10.944736,-9.089047,231.918549,32.667973,-4.142965,213.492950,28.715511,19.864473,215.459778,14.073535,36.851933,221.858566,8.936769,26.465302,235.987808,20.330420,30.330082,225.098328,14.230823,49.583477,213.293655,-4.627836,46.430328,231.003799,10.411664,72.264549,221.085907,-0.605413,68.933502,232.502640
7,1.296047,35.963203,228.111755,6.334999,15.005963,232.559296,10.899036,-8.751378,231.244705,33.003349,-4.159039,213.580841,28.980627,20.054396,215.551865,13.826050,37.136600,221.426926,10.172296,26.161116,234.204422,21.775858,30.463495,224.462311,10.139978,50.930462,212.337280,-3.784308,44.723457,231.315140,8.018418,72.424545,220.367798,-3.840035,67.558334,229.411697
8,1.634930,35.506767,227.573196,7.078104,14.459594,233.801102,11.472531,-9.108097,231.440186,32.835823,-4.750852,213.741089,29.597219,19.763006,215.368790,14.762120,36.525181,222.182144,11.100740,26.080734,233.959854,22.441778,30.070526,224.059982,14.393639,47.821964,208.593018,-3.292485,34.925938,226.839142,8.287640,65.057274,215.575287,-0.555605,59.102863,227.039734
9,1.204258,35.365559,227.826843,7.123718,14.187276,232.706055,12.129529,-9.276534,232.022995,32.848976,-4.939507,213.391434,29.123028,19.669426,216.150116,14.780617,36.282658,221.843063,12.257531,25.935713,234.265701,22.877350,29.104570,222.710205,14.126075,45.802204,207.469208,-2.259983,38.964832,230.747040,5.941217,63.566685,212.605042,0.283367,59.358299,224.761887
