frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,0.410213,-0.394885,3.391932,0.475397,-0.535675,3.345347,0.504111,-0.717049,3.338455,0.830933,-0.610818,3.592282,1.020392,-0.359454,3.568650,0.904367,-0.154162,3.567795,0.528458,-0.187282,3.501920,0.732949,-0.061446,3.556936,0.415672,0.220438,3.470333,0.256041,0.076976,3.426460,0.460378,0.242634,3.427226,0.290688,0.134864,3.414828
1,0.325802,-0.347316,3.390309,0.414981,-0.478977,3.341771,0.440019,-0.647574,3.346549,0.747026,-0.590492,3.603652,0.956925,-0.304262,3.567780,0.814397,-0.205681,3.592025,0.486063,-0.157525,3.475357,0.688725,-0.033172,3.544002,0.436857,0.263469,3.436425,0.157887,0.059391,3.425542,0.429991,0.387340,3.276612,0.183687,0.174644,3.365595
2,0.356293,-0.321725,3.396556,0.442487,-0.475830,3.343468,0.452127,-0.698640,3.341039,0.769237,-0.592815,3.605871,0.980437,-0.317134,3.567075,0.856291,-0.191094,3.587807,0.462747,-0.159529,3.475459,0.653070,-0.032605,3.550525,0.410714,0.245605,3.447258,0.193733,0.089238,3.409289,0.394652,0.368494,3.294276,0.187186,0.172458,3.358450
3,0.369080,-0.328343,3.398582,0.446158,-0.478607,3.335132,0.466188,-0.684270,3.354947,0.790910,-0.597529,3.606015,0.991952,-0.335803,3.569883,0.860024,-0.193032,3.588594,0.467591,-0.151224,3.475561,0.662582,-0.033356,3.548969,0.390980,0.228153,3.460628,0.191210,0.071283,3.416453,0.372674,0.311679,3.367601,0.195286,0.122634,3.386291
4,0.377347,-0.339963,3.395816,0.448078,-0.475388,3.338609,0.476867,-0.689566,3.359166,0.796505,-0.594443,3.610223,0.991364,-0.335658,3.574523,0.868000,-0.184156,3.585938,0.478916,-0.149448,3.482754,0.673696,-0.023021,3.546776,0.406255,0.240406,3.450705,0.192673,0.070890,3.417589,0.464132,0.467421,3.263485,0.197655,0.249382,3.291929
5,0.374543,-0.346754,3.396722,0.456959,-0.482404,3.343361,0.478698,-0.696237,3.351772,0.798686,-0.591552,3.611805,0.995002,-0.342919,3.575237,0.870820,-0.187429,3.586330,0.486005,-0.152590,3.482945,0.681448,-0.028502,3.550236,0.420648,0.265809,3.436277,0.207233,0.043420,3.436870,0.423092,0.316766,3.381458,0.235931,0.196684,3.346746
6,0.372095,-0.360818,3.397387,0.455484,-0.492148,3.351219,0.474326,-0.695170,3.345687,0.806272,-0.592324,3.604521,1.002942,-0.335885,3.570649,0.879105,-0.183459,3.584360,0.491727,-0.145091,3.482260,0.694459,-0.020543,3.545310,0.416109,0.248382,3.450094,0.216504,0.084141,3.416930,0.422981,0.361349,3.330185,0.247728,0.206925,3.330533
7,0.383648,-0.348152,3.399709,0.469977,-0.481289,3.350017,0.483285,-0.694249,3.356020,0.799924,-0.597708,3.609146,1.013040,-0.333087,3.571631,0.876929,-0.181436,3.584146,0.501209,-0.143824,3.484444,0.697854,-0.022479,3.546806,0.440352,0.276118,3.426420,0.220214,0.070724,3.431933,0.376025,0.284570,3.395721,0.230875,0.145710,3.395515
8,0.381381,-0.350786,3.408620,0.468947,-0.502908,3.348508,0.490455,-0.690779,3.349931,0.801549,-0.599428,3.608492,1.004077,-0.356051,3.575372,0.875325,-0.187496,3.586335,0.507184,-0.151384,3.478738,0.702608,-0.029834,3.546843,0.434302,0.264645,3.432521,0.229243,0.062689,3.427345,0.346990,0.281516,3.384287,0.217609,0.141428,3.396356
9,0.389788,-0.346520,3.404088,0.462909,-0.499133,3.349736,0.484576,-0.686864,3.348357,0.802827,-0.596274,3.609669,1.011742,-0.327340,3.568699,0.874378,-0.176373,3.582907,0.501265,-0.147546,3.480044,0.708938,-0.024384,3.545725,0.404644,0.243814,3.449058,0.216643,0.066583,3.428967,0.368891,0.343078,3.329357,0.214630,0.183386,3.360902
