frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,0.044546,0.048667,1.393111,0.060743,-0.034206,1.519003,0.076486,-0.184091,1.778117,0.351739,-0.211105,2.212164,0.333816,-0.030191,1.794555,0.189802,0.080469,1.204340,0.089477,0.128507,1.029481,0.099128,0.098622,0.706333,0.117023,0.075654,0.519844,0.061741,0.180483,1.106013,0.138155,0.204877,0.964663,0.120926,0.217604,0.944153
1,0.015678,0.062688,1.394660,0.033995,-0.006443,1.491883,0.039578,-0.157031,1.741307,0.276328,-0.165674,2.072526,0.262550,-0.008049,1.702192,0.169239,0.080253,1.235548,0.063220,0.146122,1.079694,0.087456,0.113673,0.764247,0.102391,0.099497,0.548613,0.066120,0.224257,1.098725,0.083455,0.104127,0.390809,0.102406,0.221191,0.766054
2,0.024756,0.062431,1.385537,0.039996,-0.003105,1.481489,0.051012,-0.147708,1.724600,0.297069,-0.173256,2.103410,0.284435,-0.012227,1.715804,0.198927,0.068933,1.322221,0.067579,0.148087,1.062712,0.086999,0.115225,0.774475,0.127448,0.112690,0.636791,0.060438,0.203093,1.037573,0.089327,0.103123,0.463457,0.105660,0.199941,0.853803
3,0.029703,0.065711,1.374448,0.045897,-0.000960,1.474848,0.059496,-0.148488,1.726223,0.305561,-0.186903,2.121171,0.306183,-0.026216,1.783443,0.210692,0.061114,1.362242,0.073132,0.141878,1.061057,0.089845,0.109758,0.786252,0.107133,0.079937,0.480006,0.075030,0.201617,1.115711,0.083436,0.072859,0.376134,0.124323,0.192478,0.765128
4,0.030165,0.063675,1.378209,0.053346,-0.003156,1.475025,0.064387,-0.158289,1.742657,0.305703,-0.178792,2.131562,0.291910,-0.019691,1.800576,0.196907,0.068127,1.324274,0.072394,0.135208,1.088310,0.094542,0.107671,0.766756,0.098276,0.089066,0.497644,0.069311,0.203483,1.112136,0.074784,0.083139,0.387463,0.108094,0.188397,0.785968
5,0.032046,0.070820,1.361888,0.049951,-0.001428,1.473404,0.061086,-0.158943,1.745494,0.314808,-0.166129,2.108126,0.288751,-0.002180,1.750518,0.198047,0.069525,1.359770,0.074214,0.138490,1.065133,0.092972,0.108249,0.761974,0.131585,0.093079,0.607461,0.063600,0.192768,1.048740,0.086376,0.079787,0.441119,0.121335,0.195113,0.875577
6,0.035097,0.064671,1.371427,0.053604,-0.008968,1.484655,0.062799,-0.160715,1.747360,0.312923,-0.169501,2.108754,0.281810,-0.003004,1.739797,0.208959,0.051225,1.473670,0.074362,0.141348,1.053780,0.093657,0.109797,0.727969,0.110400,0.082228,0.503884,0.054189,0.190997,1.084115,0.105240,0.103990,0.558764,0.111637,0.209016,0.966549
7,0.037703,0.062388,1.373626,0.054826,-0.006597,1.480392,0.071126,-0.161267,1.743240,0.311018,-0.165397,2.097577,0.251415,0.016281,1.639261,0.210067,0.027542,1.613739,0.074489,0.142707,1.055164,0.093176,0.113422,0.726521,0.103682,0.078604,0.506395,0.053952,0.190452,1.178041,0.072152,0.095272,0.468467,0.087133,0.200956,0.868102
8,0.031472,0.062664,1.379151,0.052928,-0.012900,1.491995,0.067616,-0.167988,1.754026,0.312779,-0.170398,2.115175,0.261866,0.012223,1.668405,0.264410,-0.025163,1.907251,0.070105,0.141824,1.073794,0.094530,0.113620,0.751235,0.105874,0.081655,0.525460,0.038360,0.196919,1.214814,0.082362,0.105433,0.486707,0.090371,0.191928,0.837787
9,0.034480,0.061318,1.378284,0.050346,-0.017519,1.499351,0.069276,-0.167654,1.758338,0.304681,-0.167555,2.095943,0.261113,0.014948,1.662166,0.284942,-0.048746,1.984665,0.068808,0.141174,1.072059,0.092640,0.115067,0.752741,0.103214,0.087672,0.550955,0.041946,0.194053,1.237364,0.078845,0.094765,0.493966,0.098670,0.185865,0.846743
