frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,0.455140,-1.037627,4.369705,0.516200,-1.127352,4.328256,0.640950,-1.410405,4.340809,1.188437,-1.287752,4.698135,1.334402,-0.812824,4.658679,1.164660,-0.831414,4.748105,0.645054,-0.787473,4.607066,0.937968,-0.657240,4.704222,0.800001,-0.195975,4.681394,0.320301,-0.411193,4.623331,0.601618,0.047048,4.587956,0.431897,-0.213238,4.641566
1,0.261719,-0.882576,4.392738,0.393395,-0.953246,4.322070,0.484456,-1.211479,4.357962,1.009418,-1.137596,4.736032,1.016500,-0.699795,4.751222,0.933376,-0.678250,4.779231,0.422492,-0.468123,4.553962,0.720508,-0.453026,4.715286,0.534300,-0.146162,4.767589,0.108114,-0.358422,4.600749,0.511412,0.163846,4.527707,0.135691,-0.155798,4.604655
2,0.363983,-0.939363,4.390286,0.453320,-1.017249,4.322312,0.548084,-1.304275,4.351244,1.079141,-1.212426,4.737647,1.091326,-0.742743,4.751516,1.020887,-0.627078,4.748254,0.449000,-0.231740,4.512576,0.619280,-0.309523,4.712305,0.631200,0.050211,4.636861,0.076713,-0.216593,4.599720,0.548040,0.306867,4.378621,0.209707,-0.163507,4.613952
3,0.392462,-0.967459,4.397119,0.505033,-1.041032,4.267089,0.588113,-1.361989,4.346172,1.119797,-1.259791,4.740568,1.222603,-0.772713,4.709973,1.091785,-0.753506,4.766050,0.511167,-0.456823,4.564915,0.805098,-0.204014,4.649776,0.618822,0.325360,4.453197,0.146881,-0.293257,4.629388,0.556975,0.393627,4.301227,0.431928,-0.064883,4.513761
4,0.398777,-0.952147,4.422073,0.530961,-0.998521,4.320149,0.604231,-1.365578,4.359585,1.145538,-1.247773,4.735275,1.245772,-0.772344,4.706532,1.118024,-0.763007,4.761985,0.515984,-0.573688,4.581110,0.828610,-0.383311,4.700315,0.548755,0.038587,4.658254,0.146639,-0.345169,4.637815,0.570210,0.468420,4.181023,0.477123,-0.145725,4.557854
5,0.379143,-1.007810,4.428203,0.489799,-1.100257,4.325703,0.601996,-1.411292,4.352781,1.160108,-1.287907,4.738343,1.244945,-0.824303,4.713104,1.128961,-0.795427,4.754807,0.538268,-0.652137,4.598386,0.842937,-0.467592,4.714090,0.603460,-0.037369,4.692758,0.199186,-0.393647,4.649074,0.462503,0.204263,4.480091,0.473533,-0.142608,4.541349
6,0.418942,-0.983282,4.411326,0.518747,-1.058146,4.329851,0.609833,-1.415240,4.353338,1.158287,-1.279759,4.735848,1.291902,-0.778972,4.696648,1.130855,-0.790174,4.765766,0.537020,-0.683384,4.597634,0.832518,-0.499881,4.726055,0.600147,-0.038341,4.696879,0.145000,-0.401083,4.656450,0.516672,0.222952,4.475084,0.423031,-0.218433,4.575903
7,0.424457,-0.979037,4.404297,0.527905,-1.075044,4.331388,0.625481,-1.387819,4.354550,1.164163,-1.292812,4.731734,1.300330,-0.793405,4.698208,1.152996,-0.796416,4.760466,0.548379,-0.672445,4.584290,0.843824,-0.487659,4.713682,0.638932,-0.007699,4.664970,0.134908,-0.425299,4.615644,0.509933,0.172275,4.516618,0.443823,-0.198313,4.565297
8,0.410023,-0.997995,4.401654,0.488247,-1.036675,4.332244,0.615877,-1.396460,4.356359,1.168453,-1.277223,4.725436,1.257568,-0.804943,4.710976,1.144646,-0.778388,4.745029,0.551166,-0.687494,4.579087,0.867065,-0.512004,4.707816,0.639545,-0.031692,4.674481,0.128247,-0.428810,4.616113,0.641339,0.287249,4.423497,0.405995,-0.175637,4.556874
9,0.414066,-0.996774,4.402133,0.494648,-1.009818,4.325166,0.610887,-1.375560,4.354901,1.164950,-1.269371,4.723615,1.268088,-0.777184,4.693923,1.143231,-0.770415,4.742093,0.549588,-0.687141,4.580380,0.854503,-0.517436,4.712719,0.628901,-0.056814,4.688077,0.152006,-0.423724,4.607274,0.590050,0.242279,4.447819,0.404390,-0.195347,4.566504
