frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,-39.425980,36.087048,229.255280,-32.650051,12.059481,237.738892,-25.725311,-19.695753,234.325562,-0.747784,-13.997961,202.220078,-7.365691,18.790787,206.333694,-30.624783,37.039253,217.067261,-24.811832,28.153530,235.837875,-10.384118,33.844254,216.930328,-39.677834,55.087791,203.326614,-54.291035,50.322796,238.090134,-43.356350,78.901535,210.799194,-55.335209,79.195267,241.329483
1,-33.119118,42.003979,230.791153,-25.747561,16.318460,238.915039,-21.029482,-16.401392,235.193436,4.046426,-11.928212,202.181595,-3.388401,21.198681,207.171295,-22.514135,41.983540,219.255798,-20.687159,31.319098,235.614334,-5.539162,34.449875,215.925278,-33.203930,60.244301,206.742813,-52.697979,57.141655,235.520294,-37.118843,92.860336,216.377518,-50.657005,90.253212,236.375214
2,-35.630936,39.966274,230.242828,-27.361853,14.529242,239.307465,-22.649218,-17.250164,234.998886,2.618350,-11.978026,202.828842,-3.487620,20.278761,207.062439,-26.867374,40.303898,219.582779,-21.081615,32.355095,235.936890,-4.980335,35.030251,215.933273,-35.819778,61.529476,209.671677,-44.441109,57.908901,236.362061,-42.157516,92.117119,215.398285,-49.179939,100.700058,233.797318
3,-36.373280,39.144176,230.090530,-28.711946,14.284366,238.486328,-23.150024,-17.394251,235.431854,1.949775,-12.419593,202.736801,-3.989978,19.914171,207.616272,-28.225180,39.427189,220.026382,-20.966446,32.866837,235.845123,-5.446835,35.701923,215.788727,-36.089760,58.697819,207.035828,-52.536800,53.865898,234.771271,-44.380432,88.916367,214.528931,-51.247204,93.968346,234.814011
4,-37.188751,38.078354,229.924164,-29.779854,13.767556,238.332352,-23.528217,-18.016329,235.109787,1.565145,-12.768174,202.856155,-3.693793,19.175476,207.369583,-27.638788,39.120373,219.832260,-21.902538,31.268347,237.348526,-6.330162,35.006767,217.455429,-37.502899,58.245399,209.716324,-52.879635,52.773563,235.619934,-42.497730,86.648392,218.526077,-52.693069,88.621292,236.823532
5,-37.917633,37.871044,229.620728,-29.592291,13.620806,238.565125,-23.874380,-18.095463,235.347488,1.246332,-12.828617,202.951935,-5.285249,20.335762,208.130646,-26.859537,39.724506,219.792328,-22.621380,29.969471,237.472382,-7.331958,34.082741,217.362732,-35.436363,57.402157,208.221329,-54.748505,52.817184,235.586075,-42.204578,92.004921,216.016159,-56.389465,87.216003,236.565536
6,-37.544579,37.793411,230.014145,-29.434868,14.087705,239.192535,-23.711565,-18.067314,235.656952,1.224414,-12.734673,203.067200,-5.839777,20.926418,208.207199,-27.878588,39.672295,219.944778,-22.666292,29.948534,238.269745,-7.388109,34.132103,217.722275,-35.975288,58.411743,207.745361,-55.732193,53.393147,237.464905,-43.820545,91.649124,215.093185,-57.267384,89.964363,236.404831
7,-37.911980,37.539612,230.379700,-30.196838,13.881930,239.183472,-23.857275,-18.463505,235.760696,1.422234,-12.779779,203.124695,-5.309221,20.810896,208.246964,-28.105585,38.910358,220.608429,-24.223164,31.033222,236.907288,-8.884576,34.183777,217.386261,-37.421921,59.185421,207.964493,-57.997112,56.709728,234.896332,-45.013222,92.664322,213.907730,-56.809658,92.954262,237.258591
8,-38.058708,37.235031,230.044601,-30.310522,13.732895,239.284576,-23.556053,-18.533758,235.947418,1.468998,-12.903609,203.283310,-5.494007,20.722731,208.986755,-28.551758,37.997807,220.163788,-24.377275,30.882416,236.543427,-9.572964,34.227058,216.981628,-38.206074,59.769829,208.899765,-58.528793,57.201797,233.132751,-43.383270,94.029922,212.928925,-56.693573,92.260155,235.367905
9,-38.227707,36.841316,230.561462,-30.439102,12.939011,239.171371,-23.513037,-18.794453,235.964828,1.317498,-12.939563,203.245895,-5.858811,20.537409,208.946884,-28.061865,38.293106,220.429733,-24.105610,29.540472,236.144196,-9.171074,34.038570,216.856598,-38.145771,60.199696,208.615356,-58.801857,56.431320,233.354416,-42.445442,90.273506,213.463211,-56.401386,89.726021,236.421707
10,-37.805164,37.371410,230.352997,-30.308575,12.820009,239.053741,-23.744368,-19.027523,235.860138,1.261383,-12.713793,203.144318,-5.628434,20.314802,208.981262,-27.965393,38.051186,220.433228,-24.081928,29.958778,236.304108,-9.495352,33.979347,216.815750,-38.615841,61.074081,209.782623,-58.182171,56.543419,233.302139,-43.319401,92.880531,214.956329,-56.582878,90.348946,236.212585
11,-37.809441,36.557690,230.346756,-30.516048,12.979574,239.354553,-23.776030,-18.959127,235.752823,1.303664,-12.593851,202.763550,-5.692464,20.216784,208.900513,-27.998543,38.095791,220.301117,-24.101862,30.708773,236.404770,-9.204535,34.005661,216.348557,-38.487282,60.545170,210.735016,-58.877293,55.851063,234.378845,-44.723503,92.153481,215.965210,-58.039112,90.874870,236.184509
12,-38.194824,36.507721,230.213531,-30.500063,12.916295,239.371094,-23.703346,-19.000969,235.703568,1.361572,-12.755323,202.999084,-5.859722,20.319485,208.997253,-28.274338,37.634022,220.311737,-24.332132,29.703440,236.032135,-9.480301,33.859917,216.573105,-37.982445,59.391876,208.332169,-58.913857,55.892525,233.877151,-43.287952,92.580208,213.271866,-57.654873,90.226181,235.299133
13,-37.551815,36.723595,230.273209,-30.329809,12.825902,239.318420,-23.582880,-19.154173,235.759216,1.312624,-12.692855,202.816345,-5.885554,20.034683,208.850739,-28.491457,37.472424,220.523987,-24.177076,29.757378,236.263092,-9.465796,33.812408,216.625320,-38.408455,59.925541,210.033890,-57.383698,55.870796,235.175644,-42.596558,92.502640,215.483490,-57.273758,88.546761,236.185516
14,-37.627056,36.781475,230.215225,-30.371109,12.908937,239.268661,-23.548195,-19.054787,235.750565,1.311013,-12.740966,202.925858,-5.947707,19.710203,208.852081,-28.362158,37.887897,220.329727,-23.995434,30.313669,236.236969,-9.226353,33.904110,216.428177,-37.793159,58.453896,207.758743,-56.943390,55.848522,234.267471,-41.005585,91.327492,214.368729,-56.050209,88.876907,235.940933
15,-38.243885,36.637367,229.996582,-30.324118,13.096604,239.230881,-23.793846,-18.953434,235.661499,1.498066,-12.868340,202.784485,-5.973884,19.643871,208.512115,-28.906485,38.128792,219.750885,-24.083530,30.139635,235.852417,-9.203752,33.867355,216.357498,-37.396801,56.551262,206.579910,-57.248569,56.301170,233.892441,-43.796013,88.770241,211.695328,-57.882641,89.535461,234.717331
16,-38.084045,36.103733,230.049988,-30.212034,13.020329,239.046936,-23.793755,-18.952557,235.638428,1.355944,-12.968168,202.736023,-5.998238,19.490711,207.849136,-28.469124,37.637207,219.238297,-23.497446,30.805412,236.104324,-8.360479,33.768532,216.166031,-36.637802,56.873589,206.773102,-56.280758,57.091564,234.827545,-43.160198,90.145432,212.580673,-57.240639,91.154366,234.600830
