subject_id,wrist_L,wrist_R,elbow_L,elbow_R,wrist_L_inner,wrist_R_inner,elbow_L_outer,elbow_R_outer
0,8.235,8.235,12.727,12.727,10,10,15,15
1,4.375,5.072,6.522,6.853,6.716,5.455,6.716,6.784
2,5.33,5.147,8.824,9.375,4.828,5.455,10.714,11.029
3,4.667,5.385,7.222,8.667,5.276,6.25,9.799,10
4,4.839,5,6.452,5,5.455,5.455,7.5,6.897
5,4.375,4.667,4.667,11.111,4.242,5,18.667,18.182
6,4.138,3.896,6,5.455,4.545,5.072,8.75,9.333
7,6.897,8,14.925,16.154,6.897,9.137,16.912,17.692
8,9.42,11.333,15.333,16.667,9.286,11.039,19.598,20
9,9.091,9.74,9.74,9.375,8.333,8.824,10.553,11.538
10,6,9.375,14,15.217,6,16,11.194,13.333
21,4.348,4.523,7.059,8,4.412,4.478,none,none
22,8.75,10.66,15.829,14.483,14.286,13.793,none,11.16
23,6.429,6.522,14.483,15.829,10.769,14.179,none,none
24,10.294,10.448,16.912,19.167,none,none,none,none
25,none,none,none,13.75,none,none,none,9
